Ano de Publicação;Título do Artigo;Nome do Autor;Categoria do Autor
2021;Classification of anatomical landmarks in the gastrointestinal tract with endoscopy images utilizing convolutional neural networks and triplet loss;Lisle Faray de Paiva;Aluno
2021;Classification of anatomical landmarks in the gastrointestinal tract with endoscopy images utilizing convolutional neural networks and triplet loss;Alan Carlos de Moura Lima;Professor
2021;Classification of anatomical landmarks in the gastrointestinal tract with endoscopy images utilizing convolutional neural networks and triplet loss;Geraldo Braz Júnior;Professor
2021;Classification of anatomical landmarks in the gastrointestinal tract with endoscopy images utilizing convolutional neural networks and triplet loss;Anselmo Cardoso de Paiva;Professor
2021;Classification of anatomical landmarks in the gastrointestinal tract with endoscopy images utilizing convolutional neural networks and triplet loss;Aristófanes Correa Silva;Professor
2021;Automatic Twitter Stance Detection on Politically Controversial Issues: A Study on Covid-19’s CPI;Patricia D. Santos;Aluno
2021;Automatic Twitter Stance Detection on Politically Controversial Issues: A Study on Covid-19’s CPI;Denise H. Goya;Professor
2021;Face Reconstruction with Variational Autoencoder and Face Masks;Rafael S. Toledo;Aluno
2021;Face Reconstruction with Variational Autoencoder and Face Masks;Eric A. Antonelo;Professor
2021;Performance analysis of machine learning algorithms trained on biased data;Renata Sendreti Broder;Aluno
2021;Performance analysis of machine learning algorithms trained on biased data;Lilian Berton;Professor
2021;Applying DevOps to Machine Learning Processes: A Systematic Mapping;Beatriz Mayumi Andrade Matsui;Aluno
2021;Applying DevOps to Machine Learning Processes: A Systematic Mapping;Denise Hideko Goya;Professor
2021;Técnicas de Aprendizado por Reforço Aplicadas em Jogos Eletrônicos na Plataforma Geral do Unity;Gabriel Prudencio Haddad;Aluno
2021;Técnicas de Aprendizado por Reforço Aplicadas em Jogos Eletrônicos na Plataforma Geral do Unity;Rita Maria Silva Julia;Professor
2021;Técnicas de Aprendizado por Reforço Aplicadas em Jogos Eletrônicos na Plataforma Geral do Unity;Matheus Prado Prandini Faria;Professor
2021;Short-term Inbetweening of 3D Human Motions;Fabio Neves Rocha;Aluno
2021;Short-term Inbetweening of 3D Human Motions;Valdinei Freire;Professor
2021;Short-term Inbetweening of 3D Human Motions;Karina Valdivia Delgado;Professor
2021;Optimization Matters: Guidelines to Improve Representation Learning with Deep Networks;Aline R. Becher;Aluno
2021;Optimization Matters: Guidelines to Improve Representation Learning with Deep Networks;Moacir A. Ponti;Professor
2021;Assessing Fair Machine Learning Strategies Through a Fairness-Utility Trade-off Metric;Luiz Fernando F. P. de Lima;Aluno
2021;Assessing Fair Machine Learning Strategies Through a Fairness-Utility Trade-off Metric;Danielle Rousy D. Ricarte;Professor
2021;Assessing Fair Machine Learning Strategies Through a Fairness-Utility Trade-off Metric;Clauirton A. Siebra;Professor
2021;A Model for Traffic Forwarding through Service Function Chaining using Deep Reinforcement Learning Techniques;Silvio Romero de Araújo Júnior;Aluno
2021;A Model for Traffic Forwarding through Service Function Chaining using Deep Reinforcement Learning Techniques;Reinaldo A. C. Bianchi;Professor
2021;A clustering algorithm to evaluate the attitude of Brazilian researchers regarding open access research data;Bruna S. Freitas;Aluno
2021;A clustering algorithm to evaluate the attitude of Brazilian researchers regarding open access research data;Diego Bottero;Professor
2021;A clustering algorithm to evaluate the attitude of Brazilian researchers regarding open access research data;Giancarlo Lucca;Professor
2021;A clustering algorithm to evaluate the attitude of Brazilian researchers regarding open access research data;Eduardo N. Borges;Professor
2021;A clustering algorithm to evaluate the attitude of Brazilian researchers regarding open access research data;Helida Santos;Professor
2021;A clustering algorithm to evaluate the attitude of Brazilian researchers regarding open access research data;Graçaliz P. Dimuro;Professor
2021;Triple-VAE: A Triple Variational Autoencoder to Represent Events in One-Class Event Detection;Marcos P. S. Gôlo;Aluno
2021;Triple-VAE: A Triple Variational Autoencoder to Represent Events in One-Class Event Detection;Rafael G. Rossi;Professor
2021;Triple-VAE: A Triple Variational Autoencoder to Represent Events in One-Class Event Detection;Ricardo M. Marcacini;Professor
2021;A Comparative Study on Morphological Neural Networks for Binary Classification;Luana Felipe de Barros;Aluno
2021;A Comparative Study on Morphological Neural Networks for Binary Classification;Marcos Eduardo Valle;Professor
2021;DEBACER: a method for slicing moderated debates;Thomas Palmeira Ferraz;Aluno
2021;DEBACER: a method for slicing moderated debates;Alexandre Alcoforado;Professor
2021;DEBACER: a method for slicing moderated debates;Enzo Bustos;Professor
2021;DEBACER: a method for slicing moderated debates;André Seidel Oliveira;Professor
2021;DEBACER: a method for slicing moderated debates;Rodrigo Gerber;Professor
2021;DEBACER: a method for slicing moderated debates;Naíde Müller;Professor
2021;DEBACER: a method for slicing moderated debates;André Corrêa d’Almeida;Professor
2021;DEBACER: a method for slicing moderated debates;Bruno Miguel Veloso;Professor
2021;DEBACER: a method for slicing moderated debates;Anna Helena Reali Costa;Professor
2021;Speedup Evaluation of the Training Algorithm for a Multilayer Perceptron based on Colored Petri Nets Simulations;Matheus Dias Gama;Aluno
2021;Speedup Evaluation of the Training Algorithm for a Multilayer Perceptron based on Colored Petri Nets Simulations;Stéphane Julia;Professor
2021;Speedup Evaluation of the Training Algorithm for a Multilayer Perceptron based on Colored Petri Nets Simulations;Rita Maria Silva Julia;Professor
2021;Semantic Segmentation for People Detection on Beach Images;Leonardo de A. Monte;Aluno
2021;Semantic Segmentation for People Detection on Beach Images;Emília G. Oliveira;Professor
2021;Semantic Segmentation for People Detection on Beach Images;Filipe R. Cordeiro;Professor
2021;Semantic Segmentation for People Detection on Beach Images;Valmir Macario;Professor
2021;A lightweight approach for predicting errors in chess matches;Giovanni Comarela;Aluno
2021;A lightweight approach for predicting errors in chess matches;Davi Hagap Emanuel da Silva;Professor
2021;A Comparison of Deep Learning Architectures for Automatic Gender Recognition from Audio Signals;Alef Iury S. Ferreira;Aluno
2021;A Comparison of Deep Learning Architectures for Automatic Gender Recognition from Audio Signals;Frederico S. Oliveira;Professor
2021;A Comparison of Deep Learning Architectures for Automatic Gender Recognition from Audio Signals;Nádia F. Felipe da Silva;Professor
2021;A Comparison of Deep Learning Architectures for Automatic Gender Recognition from Audio Signals;Anderson S. Soares;Professor
2021;The Challenges of Modeling and Predicting Online Review Helpfulness;Rogério Figueredo de Sousa;Aluno
2021;The Challenges of Modeling and Predicting Online Review Helpfulness;Thiago Alexandre Salgueiro Pardo;Professor
2021;Comparative Analysis of Collaborative Filtering-Based Predictors of Scores in Surveys of a Large Company;Markos F. B. G. Oliveira;Aluno
2021;Comparative Analysis of Collaborative Filtering-Based Predictors of Scores in Surveys of a Large Company;Myriam Delgado;Professor
2021;Comparative Analysis of Collaborative Filtering-Based Predictors of Scores in Surveys of a Large Company;Ricardo Lüders;Professor
2021;PLSUM: Generating PT-BR Wikipedia by Summarizing Multiple Websites;André Seidel Oliveira;Aluno
2021;PLSUM: Generating PT-BR Wikipedia by Summarizing Multiple Websites;Anna H. Reali Costa;Professor
2021;LegalNLP - Natural Language Processing methods for the Brazilian Legal Language;Felipe Maia Polo;Aluno
2021;LegalNLP - Natural Language Processing methods for the Brazilian Legal Language;Gabriel Caiaffa Floriano Mendonça;Professor
2021;LegalNLP - Natural Language Processing methods for the Brazilian Legal Language;Kauê Capellato J. Parreira;Professor
2021;LegalNLP - Natural Language Processing methods for the Brazilian Legal Language;Lucka Gianvechio;Professor
2021;LegalNLP - Natural Language Processing methods for the Brazilian Legal Language;Peterson Cordeiro;Professor
2021;LegalNLP - Natural Language Processing methods for the Brazilian Legal Language;Jonathan Batista Ferreira;Professor
2021;LegalNLP - Natural Language Processing methods for the Brazilian Legal Language;Leticia Maria Paz de Lima;Professor
2021;LegalNLP - Natural Language Processing methods for the Brazilian Legal Language;Antônio Carlos do Amaral Maia;Professor
2021;LegalNLP - Natural Language Processing methods for the Brazilian Legal Language;Renato Vicente;Professor
2021;Interpretability of Attention Mechanisms in a Portuguese-Based Question Answering System about the Blue Amazon;Stefano Spindola;Aluno
2021;Interpretability of Attention Mechanisms in a Portuguese-Based Question Answering System about the Blue Amazon;Marcos Menon José;Professor
2021;Interpretability of Attention Mechanisms in a Portuguese-Based Question Answering System about the Blue Amazon;André Seidel Oliveira;Professor
2021;Interpretability of Attention Mechanisms in a Portuguese-Based Question Answering System about the Blue Amazon;Flávio Nakasato Cação;Professor
2021;Interpretability of Attention Mechanisms in a Portuguese-Based Question Answering System about the Blue Amazon;Fábio Gagliardi Cozman;Professor
2021;The 5th Brazilian Competition on Knowledge Discovery in Databases (KDD-BR 2021);Ana C. Lorena;Aluno
2021;The 5th Brazilian Competition on Knowledge Discovery in Databases (KDD-BR 2021);Filipe A. N. Verri;Professor
2021;The 5th Brazilian Competition on Knowledge Discovery in Databases (KDD-BR 2021);Tiago A. Almeida;Professor
2021;KDD-BR 2021: Using Graph Neural Networks for Link Prediction in TSP Problem;Bruno Klaus de Aquino Afonso;Aluno
2021;KDD-BR 2021: Using Graph Neural Networks for Link Prediction in TSP Problem;Willian Dihanster Gomes de Oliveira;Professor
2021;KDD-BR 2021: Using Graph Neural Networks for Link Prediction in TSP Problem;Jéssica Domingues Lamosa;Professor
2021;KDD-BR 2021: Using Graph Neural Networks for Link Prediction in TSP Problem;Lilian Berton;Professor
2021;An iterated local search for the travelling salesman problem;Pedro B. Castellucci;Aluno
2021;Enhanced Self-Organizing Map Solution for the Traveling Salesman Problem;Joao P. A. Dantas;Aluno
2021;Enhanced Self-Organizing Map Solution for the Traveling Salesman Problem;Andre N. Costa;Professor
2021;Enhanced Self-Organizing Map Solution for the Traveling Salesman Problem;Marcos R. O. A. Maximo;Professor
2021;Enhanced Self-Organizing Map Solution for the Traveling Salesman Problem;Takashi Yoneyama;Professor
2022;Multi-Level Stacking;Fabiana Coutinho Boldrin;Aluno
2022;Multi-Level Stacking;Adriano Henrique Cantão;Professor
2022;Multi-Level Stacking;Renato Tinós;Professor
2022;Multi-Level Stacking;José Augusto Baranauskas;Professor
2022;Random Forest for Code Smell Detection in JavaScript;Diego S. Sarafim;Aluno
2022;Random Forest for Code Smell Detection in JavaScript;Karina V. Delgado;Professor
2022;Random Forest for Code Smell Detection in JavaScript;Daniel Cordeiro;Professor
2022;Algoritmo de Ensemble para Classificação em Fluxo de Dados com Classes Desbalanceadas e Mudanças de Conceito;Douglas Amorim de Oliveira;Aluno
2022;Algoritmo de Ensemble para Classificação em Fluxo de Dados com Classes Desbalanceadas e Mudanças de Conceito;Karina Valdivia Delgado;Professor
2022;Algoritmo de Ensemble para Classificação em Fluxo de Dados com Classes Desbalanceadas e Mudanças de Conceito;Marcelo de Souza Lauretto;Professor
2022;Improving steel making off-gas predictions by mixing classification and regression multi-modal multivariate models;Marcelo Magalhães do Carmo;Aluno
